building_name,prefecture,city,address,unit_number,rent,rawRent,bedroom,area_m2,area_ft2,station_name,station_distance_min,url,features
"King House Higashikoiwa","Tokyo","Edogawa-ku","Higashikoiwa 6-21-3","0101A","80,000","80000","S","20.47","220","Edogawa","10","https://apts.jp/properties/142800-king-house-higashikoiwa-0101a","Air Conditioning · Pet Friendly"
"King House Higashikoiwa","Tokyo","Edogawa-ku","Higashikoiwa 6-21-3","0101B","85,000","85000","S","20.47","220","Edogawa","10","https://apts.jp/properties/142800-king-house-higashikoiwa-0101a","Air Conditioning · Pet Friendly"
"Realize Tateishi","Tokyo","Katsushika-ku","Tateishi 3-19-5","107","80,000","80000","S","20.73","223","Keisei Tateishi","5","https://apts.jp/properties/182686-realize-tateishi-107","Air Conditioning · Bicycle Storage"
"Tiger Yotsugi","Tokyo","Katsushika-ku","Higashiyotsugi 3-34-18","0202","80,000","80000","S","20.02","215","Yotsugi","3","https://apts.jp/properties/181294-tiger-yotsugi-0202","Air Conditioning"
"Kent","Tokyo","Adachi-ku","Shimmeiminami 1-3-15","203","82,000","82000","1","36.43","392","Kita Ayase","18","https://apts.jp/properties/182821-kent-203","Air Conditioning · Bicycle Storage"
"Sunflower 6th","Tokyo","Edogawa-ku","Nakakasai 6-21-10","0303","83,000","83000","S","26.04","280","Kasai","6","https://apts.jp/properties/178886-sunflower-6th-0303","Air Conditioning · Bicycle Storage"
"SQUARE Shiomi","Tokyo","Koto-ku","Shiomi 2-9-16","0405","85,000","85000","S","22.5","242","Shiomi","5","https://apts.jp/properties/183015-square-shiomi-0405","Air Conditioning · Pet Friendly · Bicycle Storage"
"SQUARE Shiomi","Tokyo","Koto-ku","Shiomi 2-9-16","0401","86,000","86000","S","22.5","242","Shiomi","5","https://apts.jp/properties/183015-square-shiomi-0405","Air Conditioning · Pet Friendly · Bicycle Storage"
"SQUARE Shiomi","Tokyo","Koto-ku","Shiomi 2-9-16","0502","86,000","86000","S","22.5","242","Shiomi","5","https://apts.jp/properties/183015-square-shiomi-0405","Air Conditioning · Pet Friendly · Bicycle Storage"
"SQUARE Shiomi","Tokyo","Koto-ku","Shiomi 2-9-16","0806","89,000","89000","S","22.5","242","Shiomi","5","https://apts.jp/properties/183015-square-shiomi-0405","Air Conditioning · Pet Friendly · Bicycle Storage"
"Toneri Park Front 2","Tokyo","Adachi-ku","Nishiiko 2-8-18","0502","87,000","87000","S","20.12","217","Toneri Koen","7","https://apts.jp/properties/174052-toneri-park-front-2-0502","Air Conditioning · Pet Friendly"
"Toneri Park Front 2","Tokyo","Adachi-ku","Nishiiko 2-8-18","0402","88,000","88000","S","20.12","217","Toneri Koen","7","https://apts.jp/properties/174052-toneri-park-front-2-0502","Air Conditioning · Pet Friendly"
"Toneri Park Front 2","Tokyo","Adachi-ku","Nishiiko 2-8-18","0503","88,000","88000","S","20.12","217","Toneri Koen","7","https://apts.jp/properties/174052-toneri-park-front-2-0502","Air Conditioning · Pet Friendly"
"Toneri Park Front 2","Tokyo","Adachi-ku","Nishiiko 2-8-18","0302","88,000","88000","S","20.12","217","Toneri Koen","7","https://apts.jp/properties/174052-toneri-park-front-2-0502","Air Conditioning · Pet Friendly"
"Toneri Park Front 2","Tokyo","Adachi-ku","Nishiiko 2-8-18","0501","88,000","88000","S","20.12","217","Toneri Koen","7","https://apts.jp/properties/174052-toneri-park-front-2-0502","Air Conditioning · Pet Friendly"
"Toneri Park Front 2","Tokyo","Adachi-ku","Nishiiko 2-8-18","0301","89,000","89000","S","20.12","217","Toneri Koen","7","https://apts.jp/properties/174052-toneri-park-front-2-0502","Air Conditioning · Pet Friendly"
"Toneri Park Front 2","Tokyo","Adachi-ku","Nishiiko 2-8-18","0303","89,000","89000","S","20.12","217","Toneri Koen","7","https://apts.jp/properties/174052-toneri-park-front-2-0502","Air Conditioning · Pet Friendly"
"Toneri Park Front 2","Tokyo","Adachi-ku","Nishiiko 2-8-18","0401","89,000","89000","S","20.12","217","Toneri Koen","7","https://apts.jp/properties/174052-toneri-park-front-2-0502","Air Conditioning · Pet Friendly"
"Toneri Park Front 2","Tokyo","Adachi-ku","Nishiiko 2-8-18","0403","89,000","89000","S","20.12","217","Toneri Koen","7","https://apts.jp/properties/174052-toneri-park-front-2-0502","Air Conditioning · Pet Friendly"
